address,archetype,cluster,is_noise,SIS,C_D,C_B,C_P,deviation_flag,is_suspicious_gt,coinjoin_score,coinjoin_ratio,total_value,tx_count_total,active_days,recency_days,batch_ratio
bc1qel8unphgt0drrr8ep9x8fqx97mcnqqnj890xaf,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,5.46e-05,10.0,0.0,0.0,0.0
bc1prxukhv2pfkuy2sp4qakq430pwxslvtq9vaqs724x0pa8e4wpzd7q2xhe2m,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,9.282e-05,17.0,0.0,0.0,0.0
bc1p4j2ceh3rnm8qfzv9fza7m06qn9pv0z4xfy3qv49uqufmwevfyx0q2xh9tq,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,4.368e-05,8.0,0.0,0.0,0.0
bc1pq0pl2s39qmfgvt2eq5l84gyv26ue202e7p4jvy5lphxuc8dufcuqxkewh9,Noise,-1,True,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,1.0,2.2357707,18.0,75.58344907407407,438.0,0.0
3JmSbpuBPb6yJ2QgMc5kdm36JhPzz7nHjn,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.333322,3.0,0.0,0.0,0.0
bc1pkm26fdr37fktymz3na6njpj735srcaynd2flyaps9575unzuvausxnfumw,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.00094984,12.0,1.0,421.0,0.0
bc1p55fre7x86uy0s6jgh832erv0lxwln3xwf88cd5vmx05m0wy82qtqvs74a9,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.1,0.2,0.20943296,44.0,132.92046296296297,652.0,0.05128205128205128
bc1pzjhrhhk36wene27pyctyrwmtrq6l3t4s80v79km84lphypv83e8s4gy8ch,Miners,3,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.8,0.6,0.365718,17.0,105.9406712962963,363.0,0.16666666666666666
1Fmesz6iy4n5ZY6Y5FceLVPuR1EbTqmwXX,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,34.257893,14.0,217.56074074074073,740.0,0.0
bc1pkyfsp5335wvjvc3dhwkjr7qzldca8ac45kdumu6jgu38z2lrnt7svsqgfg,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.0414206,36.0,6.561817129629629,785.0,0.029411764705882353
18oVNNEYeBe5eEB2sZStmzWF8joFz1kQSk,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,526.955,15.0,308.06028935185185,744.0,0.0
bc1pundfgy488yf38zfm6um4phs9uqhutvwnw3k8knmc8mpe3usvgmsqt3srcs,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,3.822e-05,7.0,0.0,0.0,0.0
bc1pm45dh7envqtvj628x9c0eucv7dwyy5ju62hnfwkfkph2r2nrq05qdm70zl,Mixing Services,4,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.00024024,44.0,0.0,0.0,0.0
bc1pzs00wwscdurw65m9337huzldeear9xq55shtlgz3mc7qqve45essq8deut,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.16666666666666666,0.3333333333333333,0.15441248,68.0,192.77402777777777,589.0,0.06153846153846154
1MDVgLPHnujxERpQGzJoz2UnogpKapt9L2,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,44.42448,17.0,154.50020833333335,868.0,0.21428571428571427
bc1p0s9m8z8ms64nltc27hmcnvrpzja00hwuvfcmtgczt35np5gmdn8sng7nxl,Exchanges,2,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.0,0.0,0.0508023,18.0,5.278287037037037,568.0,0.0
1Q94CUM3bnh9UsRc74azkKrcfWEMssRX4S,Retail Users,0,False,0.0007275569321274445,1.357561276922137e-05,0.0,1.1375406064626714e-05,False,0,0.5,0.0,5.4184318,8.0,90.53268518518519,628.0,0.0
